       Epoch            TrainDetLoss       TrainScoreLoss      TrainCoordLoss        ValDetLoss         ValScoreLoss        ValCoordLoss             F1                  AP                  Lr         
         1                0.101098            0.013668            0.058287            0.019145            0.003570            0.010383            0.966963            0.988853            0.002000      
         2                0.019204            0.003186            0.010679            0.012883            0.002387            0.006997            0.977059            0.997149            0.001995      
         3                0.012885            0.002266            0.007079            0.008055            0.001718            0.004224            0.988838            0.998637            0.001978      
         4                0.010097            0.001887            0.005473            0.009832            0.002063            0.005179            0.964753            0.997333            0.001978      
         5                0.008738            0.001714            0.004683            0.007300            0.001437            0.003909            0.989000            0.999038            0.001995      
         6                0.007612            0.001513            0.004066            0.006975            0.001312            0.003775            0.986565            0.999404            0.001978      
         7                0.006756            0.001360            0.003598            0.004899            0.001072            0.002551            0.995903            0.999689            0.001951      
         8                0.006250            0.001276            0.003316            0.005707            0.001355            0.002901            0.976439            0.999706            0.001914      
         9                0.005891            0.001227            0.003110            0.005617            0.001088            0.003020            0.992566            0.999682            0.001866      
         10               0.005555            0.001194            0.002908            0.004652            0.000999            0.002436            0.995408            0.999694            0.001809      
         11               0.005298            0.001144            0.002769            0.004339            0.001042            0.002198            0.993429            0.999611            0.001743      
         12               0.005055            0.001121            0.002623            0.004204            0.000911            0.002195            0.992112            0.999854            0.001669      
         13               0.004833            0.001093            0.002494            0.004780            0.000856            0.002616            0.995656            0.999865            0.001588      
         14               0.004647            0.001056            0.002394            0.004108            0.000864            0.002163            0.993418            0.999858            0.001500      
         15               0.004464            0.001030            0.002289            0.003068            0.000757            0.001541            0.996599            0.999954            0.001407      
         16               0.004314            0.001003            0.002207            0.003380            0.000776            0.001736            0.997295            0.999931            0.001309      
         17               0.004216            0.001001            0.002143            0.002945            0.000794            0.001434            0.994975            0.999979            0.001208      
         18               0.003917            0.000934            0.001989            0.003519            0.000803            0.001810            0.995384            0.999785            0.001105      
         19               0.003740            0.000910            0.001887            0.003495            0.000877            0.001745            0.992136            0.999817            0.001000      
         20               0.003691            0.000905            0.001857            0.002955            0.000790            0.001443            0.996090            0.999968            0.000896      
         21               0.003573            0.000889            0.001789            0.002996            0.000813            0.001455            0.989927            0.999951            0.000792      
         22               0.003471            0.000875            0.001730            0.002598            0.000726            0.001248            0.996500            0.999943            0.000691      
         23               0.003321            0.000858            0.001642            0.002550            0.000692            0.001239            0.997146            0.999982            0.000593      
         24               0.003152            0.000819            0.001555            0.002464            0.000690            0.001182            0.995508            0.999946            0.000500      
         25               0.003044            0.000821            0.001482            0.002670            0.000791            0.001253            0.992580            0.999949            0.000412      
         26               0.002900            0.000777            0.001416            0.002285            0.000674            0.001074            0.995917            0.999928            0.000331      
         27               0.002813            0.000772            0.001361            0.002228            0.000675            0.001035            0.995124            0.999936            0.000257      
         28               0.002645            0.000731            0.001276            0.002156            0.000663            0.000996            0.995099            0.999931            0.000191      
         29               0.002600            0.000734            0.001244            0.002050            0.000620            0.000953            0.997506            0.999956            0.000134      
         30               0.002540            0.000713            0.001218            0.002020            0.000624            0.000931            0.997419            0.999987            0.000087      
