       Epoch                Step             TotalStep           TotalLoss           ScoreLoss           CoordLoss      
         1                   49                  50               1.003727            0.081139            0.615059      
         1                   99                 100               0.491374            0.058426            0.288632      
         1                  149                 150               0.246942            0.052890            0.129368      
         1                  199                 200               0.179521            0.032879            0.097761      
         1                  249                 250               0.139015            0.025898            0.075411      
         1                  299                 300               0.142155            0.024435            0.078480      
         1                  349                 350               0.103740            0.019287            0.056302      
         1                  399                 400               0.099257            0.017375            0.054588      
         1                  449                 450               0.060510            0.012199            0.032207      
         1                  499                 500               0.068903            0.010158            0.039163      
         1                  549                 550               0.060108            0.009135            0.033982      
         1                  599                 600               0.054051            0.009417            0.029756      
         1                  649                 650               0.047363            0.010491            0.024582      
         1                  699                 700               0.052418            0.007614            0.029869      
         1                  749                 750               0.069321            0.012441            0.037920      
         1                  799                 800               0.060446            0.010785            0.033107      
         1                  849                 850               0.038606            0.006969            0.021091      
         1                  899                 900               0.035047            0.005848            0.019466      
         1                  949                 950               0.043956            0.006884            0.024714      
         1                  999                 1000              0.051578            0.008113            0.028976      
         1                  1049                1050              0.044438            0.006075            0.025575      
         1                  1099                1100              0.060826            0.008935            0.034594      
         1                  1149                1150              0.036275            0.006019            0.020171      
         1                  1199                1200              0.031846            0.005482            0.017576      
         1                  1249                1250              0.040494            0.005626            0.023246      
         1                  1299                1300              0.027842            0.005152            0.015127      
         1                  1349                1350              0.024459            0.004832            0.013085      
         1                  1399                1400              0.031068            0.005475            0.017062      
         1                  1449                1450              0.032763            0.005254            0.018339      
         1                  1499                1500              0.043272            0.005488            0.025189      
         1                  1549                1550              0.057774            0.015587            0.028125      
         1                  1599                1600              0.032682            0.005091            0.018394      
         1                  1649                1650              0.025524            0.004941            0.013722      
         1                  1699                1700              0.029275            0.004785            0.016326      
         1                  1749                1750              0.027085            0.004241            0.015230      
         1                  1799                1800              0.031892            0.004372            0.018347      
         1                  1849                1850              0.029583            0.003850            0.017156      
         1                  1899                1900              0.032167            0.004169            0.018666      
         1                  1949                1950              0.023550            0.003700            0.013233      
         1                  1999                2000              0.030935            0.004827            0.017405      
         1                  2049                2050              0.018863            0.003414            0.010300      
         1                  2099                2100              0.032626            0.004221            0.018937      
         1                  2149                2150              0.024715            0.004093            0.013748      
         1                  2199                2200              0.020546            0.004029            0.011011      
         1                  2249                2250              0.022035            0.003959            0.012051      
         2                   17                 3200              0.024160            0.004324            0.013224      
         2                   67                 3250              0.023664            0.005056            0.012405      
         2                  117                 3300              0.023374            0.003386            0.013325      
         2                  167                 3350              0.017532            0.003331            0.009468      
         2                  217                 3400              0.020499            0.003477            0.011348      
         2                  267                 3450              0.025867            0.003566            0.014867      
         2                  317                 3500              0.027764            0.002935            0.016553      
         2                  367                 3550              0.023300            0.003337            0.013309      
         2                  417                 3600              0.018397            0.003189            0.010138      
         2                  467                 3650              0.021040            0.003130            0.011940      
         2                  517                 3700              0.024287            0.003977            0.013540      
         2                  567                 3750              0.029822            0.003477            0.017563      
         2                  617                 3800              0.018801            0.002948            0.010569      
         2                  667                 3850              0.014298            0.002847            0.007634      
         2                  717                 3900              0.025801            0.003519            0.014854      
         2                  767                 3950              0.013669            0.002974            0.007130      
         2                  817                 4000              0.016431            0.002704            0.009151      
         2                  867                 4050              0.017831            0.002771            0.010040      
         2                  917                 4100              0.018272            0.002725            0.010365      
         2                  967                 4150              0.018700            0.003069            0.010421      
         2                  1017                4200              0.025158            0.003048            0.014740      
         2                  1067                4250              0.012472            0.002427            0.006696      
         2                  1117                4300              0.017762            0.002980            0.009854      
         2                  1167                4350              0.019118            0.002899            0.010813      
         2                  1217                4400              0.019545            0.002833            0.011141      
         2                  1267                4450              0.020183            0.002668            0.011677      
         2                  1317                4500              0.014989            0.002576            0.008275      
         2                  1367                4550              0.020788            0.005127            0.010441      
         2                  1417                4600              0.019176            0.003048            0.010752      
         2                  1467                4650              0.020112            0.002622            0.011660      
         2                  1517                4700              0.015271            0.002988            0.008189      
         2                  1567                4750              0.013056            0.002754            0.006868      
         2                  1617                4800              0.013278            0.002311            0.007311      
         2                  1667                4850              0.022076            0.002935            0.012761      
         2                  1717                4900              0.012770            0.002373            0.006931      
         2                  1767                4950              0.018967            0.002909            0.010705      
         2                  1817                5000              0.016003            0.002510            0.008995      
         2                  1867                5050              0.016063            0.002420            0.009095      
         2                  1917                5100              0.015980            0.002500            0.008987      
         2                  1967                5150              0.012539            0.002401            0.006758      
         2                  2017                5200              0.012319            0.001950            0.006913      
         2                  2067                5250              0.011467            0.001974            0.006329      
         2                  2117                5300              0.013056            0.002659            0.006931      
         2                  2167                5350              0.026832            0.006356            0.013650      
         2                  2217                5400              0.010138            0.002141            0.005331      
         2                  2267                5450              0.011973            0.002314            0.006440      
         3                   35                 6400              0.017942            0.002090            0.010568      
         3                   85                 6450              0.013844            0.002068            0.007850      
         3                  135                 6500              0.014480            0.002627            0.007902      
         3                  185                 6550              0.012270            0.002158            0.006742      
         3                  235                 6600              0.012216            0.003270            0.005964      
         3                  285                 6650              0.011603            0.002130            0.006315      
         3                  335                 6700              0.011669            0.002302            0.006245      
         3                  385                 6750              0.014136            0.002148            0.007992      
         3                  435                 6800              0.012384            0.002027            0.006905      
         3                  485                 6850              0.017727            0.002181            0.010364      
         3                  535                 6900              0.011370            0.002172            0.006132      
         3                  585                 6950              0.011918            0.002034            0.006589      
         3                  635                 7000              0.011046            0.002016            0.006020      
         3                  685                 7050              0.009468            0.001997            0.004981      
         3                  735                 7100              0.011132            0.001665            0.006311      
         3                  785                 7150              0.014974            0.002155            0.008546      
         3                  835                 7200              0.009697            0.001808            0.005260      
         3                  885                 7250              0.010547            0.001813            0.005823      
         3                  935                 7300              0.015758            0.002781            0.008651      
         3                  985                 7350              0.014381            0.002312            0.008046      
         3                  1035                7400              0.011239            0.001987            0.006168      
         3                  1085                7450              0.010327            0.002190            0.005425      
         3                  1135                7500              0.016728            0.002499            0.009486      
         3                  1185                7550              0.012931            0.001989            0.007295      
         3                  1235                7600              0.010657            0.001768            0.005925      
         3                  1285                7650              0.030427            0.005047            0.016920      
         3                  1335                7700              0.008505            0.001629            0.004584      
         3                  1385                7750              0.009884            0.002220            0.005110      
         3                  1435                7800              0.014437            0.001839            0.008399      
         3                  1485                7850              0.019668            0.003679            0.010659      
         3                  1535                7900              0.012635            0.002542            0.006729      
         3                  1585                7950              0.012084            0.002096            0.006659      
         3                  1635                8000              0.008199            0.001639            0.004373      
         3                  1685                8050              0.010540            0.001996            0.005696      
         3                  1735                8100              0.011178            0.001990            0.006125      
         3                  1785                8150              0.011255            0.001723            0.006355      
         3                  1835                8200              0.009112            0.001844            0.004846      
         3                  1885                8250              0.022503            0.005684            0.011213      
         3                  1935                8300              0.009270            0.002036            0.004823      
         3                  1985                8350              0.010130            0.001982            0.005432      
         3                  2035                8400              0.008472            0.001952            0.004347      
         3                  2085                8450              0.007985            0.001610            0.004250      
         3                  2135                8500              0.012236            0.002118            0.006745      
         3                  2185                8550              0.009634            0.001681            0.005302      
         3                  2235                8600              0.011249            0.002335            0.005943      
         4                   3                  9550              0.007321            0.001532            0.003859      
         4                   53                 9600              0.009962            0.001870            0.005395      
         4                  103                 9650              0.010092            0.001981            0.005407      
         4                  153                 9700              0.008136            0.001787            0.004233      
         4                  203                 9750              0.009247            0.001576            0.005114      
